abbot_NOUN	m u
abdomen_NOUN	n o p
aged_ADJ	o n
agriculture_NOUN	n u b
alcohol_NOUN	n a w
ale_NOUN	o b
amazement_NOUN	n a t
apple_NOUN	p i
apron_NOUN	t o m
archer_NOUN	m u m
archers_NOUN	t a m
ark_NOUN	w u
arm_NOUN	s a
arrival_NOUN	m a j
arrow_NOUN	b o
ass_NOUN	s o
axe_NOUN	e m
backbone_NOUN	k a w
baked_ADJ	i s
baker_NOUN	t i n
balance_NOUN	t i s
bald_ADJ	m o
banana_NOUN	t i k
band_NOUN	t e
bank_NOUN	b e
barge_NOUN	o j
barley_NOUN	j o j
barn_NOUN	e w
barracks_NOUN	p e b
barrier_NOUN	m a n
basin_NOUN	p a m
basket_NOUN	w e m
bass_NOUN	j e
bat_NOUN	e j
bathroom_NOUN	t a j
bean_NOUN	o p
beautiful_ADJ	j a p
bedroom_NOUN	w e p
bee_NOUN	a w
beech_NOUN	o j
beer_NOUN	w u
belly_NOUN	k a s
belt_NOUN	i m
berry_NOUN	m o k
birch_NOUN	m a b
bird_NOUN	b i
birth_NOUN	t a s
biscuit_NOUN	m u n
bitch_NOUN	u w
black_ADJ	w e
blade_NOUN	b i
blanket_NOUN	w a t
block_NOUN	n a t
blood_NOUN	t a j
blossom_NOUN	t e s
boar_NOUN	k i
board_NOUN	w o n
boat_NOUN	e t
body_NOUN	m i
boiled_ADJ	u b
bone_NOUN	u k
bonfire_NOUN	j i s
bonnet_NOUN	w u m
bony_ADJ	a t
booth_NOUN	n a p
bottle_NOUN	b a j
bouquet_NOUN	j a n
bow_NOUN	u b
bowl_NOUN	p i
branch_NOUN	w a p
brass_NOUN	j i n
bread_NOUN	b u w
breast_NOUN	p i s
brewer_NOUN	m i k
brewery_NOUN	n o t
brick_NOUN	t u s
brickwork_NOUN	b a k
bride_NOUN	b o
bronze_NOUN	k i w
brook_NOUN	s a b
broom_NOUN	b e
brow_NOUN	s o
brown_NOUN	m u s
brush_VERB	p u j
bud_NOUN	a t
build_NOUN	b a
building_NOUN	t e s
bulb_NOUN	b a
bull_NOUN	w e
bundle_NOUN	k u s
bypass_NOUN	k u m
cabbage_NOUN	j o t
cabin_NOUN	p a
cabinet_NOUN	s u b
cage_NOUN	i j
calf_NOUN	w o
camel_NOUN	w a j
canal_NOUN	m i t
candle_NOUN	k a j
canoe_NOUN	e p
car_NOUN	o k
carpenter_NOUN	w i t
carpet_NOUN	p e s
carriage_NOUN	n u j
carrot_NOUN	n e t
carry_VERB	s a
cart_NOUN	a w
carter_NOUN	j e w
cash_NOUN	i k
cat_NOUN	k u
cattle_NOUN	s o s
cave_NOUN	u k
cavity_NOUN	m o t
cellar_NOUN	k o t
ceremonial_ADJ	b o p
chain_NOUN	j o m
chair_NOUN	m o n
charge_NOUN	n e j
cheek_NOUN	p e n
cheese_NOUN	w o n
chef_NOUN	u j
cherry_NOUN	w i t
chest_NOUN	j u
chestnut_NOUN	w o b
chew_VERB	t i
chick_NOUN	n i j
chicken_NOUN	s u m
child_NOUN	s a b
children_NOUN	k u p
chop_VERB	t e
church_NOUN	s e j
classroom_NOUN	k i k
clay_NOUN	k a
cloak_NOUN	w a j
