o	u
w a j	j a j
t i m	k i m
m ə a	b ə a
s u p	s o p
s a j	s a
o w	u w
e	i
i j	e j
u m	o n
a b i s	a m i s
u i s	o i s
n e i s	n i i s
o i s	u i s
n i i s	n e i s
m e i s	m i i s
i i s	e i s
t o i s	t u i s
t i i s	t e i s
p u i s	b u i s
k u i s	k o i s
e i s	i i s
u z i s	o z i s
a i s	e i s
w e i s	w i i s
k o i s	k u i s
a m i s	a b i s
m o i s	m u i s
j a i s	w a i s
o z i s	u z i s
t u i s	t o i s
o b i s	u b i s
k a i s	k e i s
o ɡ i s	u ɡ i s
b u i s	p u i s
n u i s	n o i s
t a i s	t e i s
k i i s	k e i s
u m i s	u b i s
e b i s	i b i s
b o i s	p o i s
i n i s	e n i s
j o i s	j u i s
w u i s	w o i s
o n i s	u d i s
w i i s	w e i s
b i i s	p i i s
w a i s	j a i s
b a i s	b ə i s
i b i s	e b i s
s i i s	s e i s
k e i s	k i i s
i z i s	e z i s
p e i s	b e i s
e m i s	i m i s
m i i s	m e i s
u ɡ i s	o ɡ i s
o w i s	u w i s
e d i s	i d i s
b e i s	p e i s
e n i s	i n i s
p i i s	b i i s
e w i s	i w i s
u w i s	o w i s
i d i s	e d i s
t e i s	t i i s
j u i s	j o i s
j i i s	j e i s
j e i s	j i i s
s a i s	s e i s
p a i s	p ə i s
s e i s	s i i s
m u i s	m o i s
w o i s	w u i s
a z i s	e z i s
n o i s	n u i s
n a i s	n ə i s
e z i s	i z i s
a n i s	e n i s
u d i s	o n i s
u b i s	o b i s
i w i s	e w i s
s o i s	s u i s
p o i s	b o i s
s u i s	s o i s
i m i s	e m i s
e j i s	a j i s
i ɡ i s	i b i s
m a i s	b a i s
o j i s	o w i s
a j i s	e j i s
t i u t	n i u t
n e	n i
j o u t	w o u t
b a u t	p a u t
a u t	e u t
t o	t u
p u u t	b u u t
n u	t u
n o m	n u m
n i u t	n e u t
m e	b e
e m u t	e b u t
b ə o	p ə o
w e	w i
u z u t	o z u t
u s	o s
t ə n u	s ə n u
s ə o	s ə u
o w u t	u w u t
o n u t	u d u t
n ə p e	n ə b e
n ə b e	n ə p e
n e u t	n i u t
m e u t	m i u t
k u u t	k o u t
k i	k e
j o	j u
i n u t	e n u t
i	e
b u u t	p u u t
b ə b o	b ə m o
w e j	w a j
w a u t	j a u t
t u t	t o t
t ə b o	t ə p u
p u m	b u w
p u	b u
p a m	b a m
p a k	p a p
o z u t	u z u t
o u t	u u t
o s	u s
n i	n e
n ə p i	n ə p e
n ə i s	n a i s
n ə e	n ə i
m i	b i
m ə o	b ə o
m ə e b	b ə i b
k u	k o
k o	k u
k i u t	k e u t
k ə e	k ə i
k e	k i
j o w	j o j
i u t	e u t
e u t	i u t
e t	i k
e p	i b
e n	i n
e j u t	a j u t
b ə u b	k ə u b
b ə m o	b ə b o
b ə j i	b ə w e
b ə i	p ə i
b ə b e	p ə p e
a m	e m
a b	a p
a	e
w u	w o
w o u t	w u u t
w a b	j a b
w a	j a
u u t	o u t
u m u t	u b u t
u ɡ u t	u b u t
u d u t	o n u t
u	o
t u u t	t o u t
t u	t o
t o u t	t u u t
t i	t e
t ə u	n ə u
t ə a t	t ə a k
s o u t	s u u t
s o p	s u p
s ə u	s ə o
s ə t o	s ə n o
s ə t a	s ə t i
s ə o p	k ə u b
s ə n e	s ə t i
s ə k o	s ə b o
s ə b o	s ə k o
s e u t	s i u t
s e p	k e p
s a u t	s e u t
s a	s e
p i u t	b e u t
p ə n e	p ə n i
p ə i t	b ə e k
p ə a	b ə a
o n	u m
o b u t	u b u t
n o k	a n u t
n ə w o	t ə w o
n ə u	t ə u
n ə n i	n ə n e
n ə n e	n ə n i
n ə i m	n ə a n
m o u t	m u u t
m o	b o
m i b	m i t
m ə w e	b ə w e
m ə u m	p ə u n
m ə s i	m ə k i
m ə j a	m ə w e
k o u t	k u u t
k i k	k i b
k i b	k e p
k ə s u	k ə s o
k ə k i	b ə k i
k ə e k	k ə e b
k ə e b	k ə e k
k e u t	k i u t
k a	k e
j u b	j u p
j i k	j i t
j a j	w a j
i z u t	s o t
i s	e s
i m	e m
i b	e p
e w	e j
e n u t	i n u t
e b u t	e m u t
b o	m o
b ə u s	t ə u s
b ə n a	p ə n a
b ə i b	p ə i b
b ə e k	b ə i b
b e	m e
b a t	p a k
a s	e s
a p	a b
a m u t	a b u t
a j u t	e j u t
a j	e j
w u u t	w o u t
w u n	w o n
w u k	w o t
w o t	w u k
w o n	w u n
w o	w u
w i u t	w e u t
w i	w e
w e u t	w i u t
w e t	j i t
w e s	e w i s
u w u t	o w u t
u w	o w
u t	e u t
u b u t	o b u t
t u n	n u m
t o t	t u t
t ə w o	t ə j o
t ə u s	b ə u s
t ə p u	t ə b o
t ə j o	t ə w o
t ə a k	t ə a t
t e k	n a k
t e	t i
t a w	b a w
t a u t	k a u t
t a	n a
s u u t	s o u t
s o t	a z u t
s i u t	s e u t
s i	s e
s ə t i	s ə n e
s ə s u	k ə s u
s ə p e	s ə b i
s ə p a	s ə p e
s ə n u	s ə n o
s ə n o	s ə n u
s ə k i	s ə b i
s ə i	s ə e
s ə e w	s ə i
s ə e n	s ə e m
s ə e m	s ə e n
s ə e b	k ə e b
s ə e	s ə i
s ə b i	s ə p e
s e	s i
p u k	a b u t
p o p	p u k
p i w	b i j
p i	b i
p ə u n	m ə u m
p ə s a	p ə n a
p ə p e	b ə b e
p ə o	b ə o
p ə n i	p ə n e
p ə n a	b ə n a
p ə m e	b ə b e
p ə j o	m ə j u
p ə i s	p a i s
p ə i b	b ə i b
p ə i	b ə i
p ə e	b ə e
p a u t	b a u t
p a p	p a k
o k	a u t
o j u t	o w u t
o j	o w
n u u t	t u u t
n u m	n o m
n i b	t e k
n ə w a	n ə w o
n ə s u	k ə s u
n ə i j	n ə i m
n ə i	n ə e
n ə b a	n ə b e
n ə a p	t ə a k
n ə a n	n ə i m
n a k	t e k
n a	t a
m u u t	m o u t
m i u t	m e u t
m i t	m i b
m ə u	m ə o
m ə t o	m ə n o
m ə o t	m a u t
m ə n o	m ə t o
m ə n e	m ə n a
m ə n a	b ə n a
m ə k i	b ə k i
m ə j u	p ə j o
m ə i w	b ə i w
m ə e	b ə e
m ə b u	b ə b o
m e n	b a m
m a w	b a w
m a u t	b a u t
m a s	a m i s
k u b	k o t
k o t	i ɡ u t
k i m	t i m
k ə u b	b ə u b
k ə s o	k ə s u
k ə p u	t ə p u
k ə m o	t ə b o
k ə i	k ə e
k ə a t	t ə a t
k e p	k i b
k a u t	k e u t
k a s	m a s
j u p	j u b
j u	j o
j o j	j o w
j i u t	j e u t
j i t	j i k
j i	j e
j e u t	j i u t
j e	j i
j a u t	w a u t
j a m	j a j
j a b	w a b
j a	w a
i n	e n
i k	e t
i ɡ u t	e b u t
e w u t	e j u t
e s	i s
e m	i m
e j	i j
e d u t	e n u t
b u w	b u
b u s	b o s
b u	p u
b o u t	b u u t
b o s	p o s
b i j	p i w
b i	p i
b ə w e	m ə w e
b ə t e	p ə n e
b ə s u	k ə s u
b ə k i	m ə k i
b ə i w	m ə i w
b ə i s	b a i s
b ə e n	n ə i m
b ə e	p ə e
b ə a t	k ə a t
b ə a	p ə a
b e u t	m e u t
b a w	m a w
b a m	p a m
b a	b e
a z u t	s o t
a n u t	e n u t
a b u t	a m u t
p o s	b o s
